,Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,Machines > Drill Press > MIB > Y-Radial > Band 1,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,Machines > Drill Press > MIB > X-Horizontal > Band 1,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,Machines > Drill Press > MIB > Y-Radial > Temperature,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,Machines > Drill Press > MIB > X-Horizontal > Temperature,Machines > Drill Press > MIB > Battery Voltage
14,0.0342153,0.0168344,0.0027582,0.3599835,0.0358015,0.013144,0.0041623,0.3566143,0.003586,65.8257576,0.0048927,65.8257576,3.243369818
15,0.0318562,0.0168536,0.0039127,0.3677443,0.031708,0.0137277,0.003394,0.3671071,0.0047643,65.72372208,0.0049555,65.72372208,3.243369818
16,0.0368044,0.0138409,0.0024521,0.3490185,0.0334335,0.0132132,0.0030337,0.3521341,0.0044425,65.55361595,0.0045247,65.55361595,3.243467569
17,0.0409042,0.0147703,0.0028615,0.3679968,0.0297839,0.013101,0.0033958,0.3596545,0.0040647,65.68970566,0.0044862,65.68970566,3.24307704
18,0.0292971,0.0160878,0.0036283,0.3557784,0.0311833,0.0152929,0.0030197,0.3627272,0.0048473,65.51960297,0.0051194,65.51960297,3.243369818
19,0.0318768,0.015645,0.0040679,0.359211,0.0329744,0.0134687,0.0039845,0.3685472,0.0044365,65.55361595,0.0046786,65.55361595,3.242490768
20,0.0331596,0.0148084,0.0021988,0.3741736,0.0303945,0.0125536,0.0068159,0.3644331,0.0035238,65.85980835,0.0048706,65.85980835,3.24258852
21,0.03272,0.0182266,0.0060548,0.3532326,0.0315575,0.0155643,0.0029413,0.3697622,0.0050087,65.34950027,0.0046901,65.34950027,3.242295504
22,0.0310106,0.0147588,0.0024462,0.3631335,0.0294499,0.0123492,0.002227,0.3499428,0.0042786,65.41752625,0.0045497,65.41752625,3.242100239
23,0.0345812,0.0159367,0.0041041,0.3595567,0.0299724,0.0134346,0.0042565,0.3619733,0.0043973,65.72372208,0.0052476,65.72372208,3.242393017
24,0.0330819,0.0159051,0.0047832,0.374378,0.0313198,0.012925,0.0046987,0.3642568,0.0043742,65.8257576,0.0048124,65.8257576,3.242197752
25,0.037564,0.012225,0.003355,0.3495746,0.0294034,0.0150039,0.003445,0.3513259,0.0047563,65.62163849,0.0043895,65.62163849,3.241807222
26,0.0291983,0.0132048,0.0023286,0.3684927,0.0304541,0.0132555,0.0034258,0.3823106,0.0040042,66.13195,0.0042549,66.13195,3.241220951
27,0.0362333,0.0121917,0.0053742,0.3739963,0.0266304,0.014718,0.0038679,0.3611867,0.0047479,65.68970566,0.0039712,65.68970566,3.241513968
28,0.0319278,0.0170788,0.0038936,0.350855,0.0303928,0.011024,0.0048615,0.3469216,0.0038343,65.55361595,0.0053922,65.55361595,3.241318703
29,0.0301235,0.0133299,0.005127,0.3582732,0.0345125,0.0164174,0.003335,0.3633944,0.0052953,65.79174461,0.0043901,65.79174461,3.241123438
30,0.0345454,0.0166907,0.0028974,0.3703834,0.0339427,0.0131837,0.003348,0.3845644,0.0047374,65.21341057,0.0048985,65.21341057,3.240439415
31,0.0311862,0.0149028,0.0025527,0.359199,0.0323056,0.0145278,0.0044173,0.3497854,0.0042314,65.65565491,0.005259,65.65565491,3.24073267
32,0.0311691,0.0132633,0.0033792,0.3865362,0.0386556,0.0144815,0.0056736,0.3641619,0.0043518,65.48555222,0.0051419,65.48555222,3.240634918
33,0.0384884,0.017568,0.0038263,0.3521655,0.0417242,0.0135225,0.0034327,0.3642053,0.0045733,65.75773163,0.0048511,65.75773163,3.241318703
34,0.0334535,0.0144873,0.0042235,0.363386,0.032701,0.0133175,0.003652,0.3643654,0.0046413,65.79174461,0.004661,65.79174461,3.240927935
35,0.0303417,0.0178105,0.0035413,0.3759169,0.0293678,0.0146162,0.0056515,0.3536962,0.0041485,65.51960297,0.0058706,65.51960297,3.240634918
36,0.0308264,0.0138969,0.0030068,0.383768,0.0320319,0.0112747,0.0040951,0.374972,0.0043144,65.41752625,0.0045261,65.41752625,3.240537167
37,0.0353565,0.0161456,0.0037317,0.3660761,0.0287588,0.0163297,0.0038379,0.3803336,0.0044921,65.58762894,0.0049741,65.58762894,3.240341902
38,0.0323971,0.0122473,0.0037678,0.3695357,0.0279158,0.0179006,0.0045769,0.3765558,0.0046651,65.68970566,0.0045182,65.68970566,3.239951134
39,0.0333934,0.0127128,0.0035086,0.3668276,0.0324787,0.0123864,0.0031151,0.3655721,0.0043526,65.79174461,0.0044233,65.79174461,3.240146637
40,0.0388969,0.0170927,0.0032472,0.3598963,0.0248415,0.0141656,0.0031908,0.3638906,0.0045356,65.8257576,0.0048819,65.8257576,3.239658117
41,0.0362167,0.0128379,0.00374,0.353981,0.0275243,0.0116448,0.0038806,0.3560746,0.0036344,65.51960297,0.0043743,65.51960297,3.239658117
42,0.0364798,0.0147287,0.0037186,0.3593943,0.0300135,0.0141919,0.0042988,0.3717772,0.004499,65.65565491,0.004667,65.65565491,3.239658117
43,0.033344,0.011141,0.002636,0.3546663,0.0314699,0.0145488,0.0030558,0.3627407,0.0040067,65.68970566,0.004279,65.68970566,3.239267349
44,0.0313822,0.0178254,0.0043268,0.3530011,0.0278508,0.0131787,0.0046985,0.3646662,0.0044405,65.65565491,0.0051006,65.65565491,3.239267349
45,0.0325671,0.0128572,0.0037679,0.3511826,0.0282209,0.0147706,0.0024593,0.3688347,0.0052228,65.4515358,0.0037879,65.4515358,3.238583565
46,0.0306023,0.0139716,0.0038355,0.3598723,0.0291307,0.0145208,0.0046367,0.3477514,0.0045567,65.1453434,0.0054116,65.1453434,3.239365101
47,0.0327067,0.0149782,-1,-1,-1,-1,0.0034113,0.3486356,-1,65.96184731,0.0044935,65.96184731,3.239365101
48,0.0349607,0.0110082,0.0029589,0.3804977,0.0285999,0.0146907,0.0025578,0.3711751,0.0040568,66.02991104,0.0045405,66.02991104,3.238779068
49,0.0354472,0.0164419,0.0023392,0.3756134,0.0363335,0.0139101,0.0062217,0.340372,0.0045459,65.79174461,0.0052055,65.79174461,3.238485813
50,0.0434852,0.0145968,0.0046426,0.3684988,0.0294914,0.0148318,0.0049799,0.3740797,0.0045445,65.85980835,0.0050079,65.85980835,3.238290548
51,0.032347,0.0181768,0.0022812,0.3624362,0.0359786,0.017097,0.0032205,0.3683248,0.0045621,65.51960297,0.0055428,65.51960297,3.2383883
52,0.035671,0.0163594,0.0033992,0.3690157,0.0352083,0.0187272,0.004267,0.3596192,0.0044918,65.79174461,0.0051502,65.79174461,3.237802267
53,0.0416937,0.0170433,0.0037823,0.3700647,0.0356046,0.0142676,0.0039724,0.3719941,0.0042018,65.79174461,0.004909,65.79174461,3.237997532
54,0.0304317,0.0179061,0.0052141,0.3594935,0.0309804,0.0159376,0.0024218,0.3648073,0.0047929,66.09793701,0.0042518,66.09793701,3.237997532
55,0.0331196,0.0136067,0.0027352,0.3577923,0.0342798,0.0150977,0.0031047,0.3549655,0.0043349,65.75773163,0.0043525,65.75773163,3.237704515
56,0.0325381,0.0184395,0.0024274,0.3636805,0.0306623,0.0128065,0.0022946,0.3721677,0.0043893,66.06392746,0.0053346,66.06392746,3.237606764
57,0.0356234,0.0159047,0.0048426,0.3584175,0.0311194,0.0133389,0.0036086,0.360959,0.0047601,65.99586029,0.0051683,65.99586029,3.237509012
58,0.0314401,0.0137242,0.0055004,0.3634491,0.032171,0.0141686,0.0056575,0.3430406,0.0041023,65.79174461,0.0044822,65.79174461,3.236825466
59,0.0300261,0.0163482,0.0033806,0.3629952,0.0308455,0.0143169,0.0035453,0.3547457,0.0047282,65.92783432,0.0055074,65.92783432,3.237118483
60,0.034466,0.0146939,0.0031883,0.3554779,0.0298695,0.0131434,0.0025206,0.3623584,0.0041277,65.51960297,0.004586,65.51960297,3.237313747
61,0.0361183,0.0174424,0.0025104,0.3603622,0.0283925,0.0116456,0.0058921,0.3510573,0.0039965,65.58762894,0.0053947,65.58762894,3.236727715
62,0.03209,0.0122705,0.0038533,0.374369,0.0289642,0.0137873,0.0047029,0.3677986,0.0051216,65.55361595,0.0036794,65.55361595,3.236532211
63,0.0375687,0.0141039,0.0020572,0.3674347,0.029821,0.0134845,0.0051786,0.3687181,0.0043165,66.02991104,0.0045238,66.02991104,3.236239433
64,0.0309092,0.014625,0.0033071,0.3579305,0.02794,0.0121643,0.0029628,0.3590037,0.004523,65.92783432,0.0048278,65.92783432,3.236336946
65,0.0319813,0.0166515,0.0031718,0.3621055,0.0293256,0.0127847,0.0047116,0.3537125,0.0040782,65.92783432,0.0048102,65.92783432,3.236336946
66,0.0373493,0.0125001,0.0027449,0.3667133,0.0306263,0.0162388,0.0030865,0.361702,0.004711,65.79174461,0.0046274,65.79174461,3.23604393
67,0.0324388,0.0120706,0.0031365,0.3579275,0.0340737,0.0121983,0.0032139,0.3606118,0.003979,65.48555222,0.0040456,65.48555222,3.236532211
68,0.0312729,0.0180507,0.0024618,0.3575939,0.0433765,0.0164643,0.0024458,0.3516052,0.0045632,65.72372208,0.0049959,65.72372208,3.236239433
69,0.0353323,0.0143791,0.0030561,0.3740053,0.0314447,0.0157673,0.0032124,0.3752188,0.0044722,65.48555222,0.0047792,65.48555222,3.236141682
70,0.0329381,0.0207227,0.0048695,0.3652045,0.0368024,0.0161863,0.0071271,0.3536799,0.004195,65.65565491,0.0048652,65.65565491,3.235457897
71,0.0278822,0.0123176,0.0038129,0.3596679,0.0266671,0.0139104,0.0027375,0.3726315,0.0038931,65.24742355,0.0037435,65.24742355,3.23555541
72,0.0365193,0.0124654,0.002173,0.3625834,0.0332278,0.0112114,0.0022998,0.3619298,0.0039229,65.89382477,0.0039277,65.89382477,3.235653162
73,0.0363352,0.0129791,0.0052143,0.3491928,0.0320697,0.0139894,0.0035937,0.3589657,0.0046925,65.72372208,0.0042882,65.72372208,3.234774113
74,0.0335299,0.0151444,0.0040108,0.3698694,0.036472,0.0127631,0.0040921,0.3750534,0.0044624,65.34950027,0.0047748,65.34950027,3.235262632
75,0.0344182,0.0139604,0.0024393,0.3683725,0.0287282,0.0131436,0.0037968,0.3505122,0.0037822,65.72372208,0.0042236,65.72372208,3.234481096
76,0.0300307,0.0149675,0.0029328,0.3760823,0.0303259,0.0133499,0.0038043,0.3621604,0.0043857,65.4515358,0.0048407,65.4515358,3.234578609
77,0.0320386,0.0175194,0.0070883,0.3612789,0.0313801,0.0167405,0.0037227,0.3621197,0.0053582,65.79174461,0.0048342,65.79174461,3.233992815
78,0.0380158,0.0146149,0.0020576,0.3757005,0.0306938,0.012196,0.0035053,0.3760514,0.0037578,65.75773163,0.0042761,65.75773163,3.234383345
79,0.0350035,0.0149184,0.0033892,0.3836838,0.0301412,0.0147843,0.0030114,0.3704781,0.0042085,65.89382477,0.0044605,65.89382477,3.234774113
80,0.0331345,0.0129304,0.0038172,0.3699986,0.0282327,0.0121891,0.0031598,0.3684604,0.004548,65.68970566,0.0042427,65.68970566,3.234090328
81,0.0351555,0.012975,0.0022621,0.3605546,0.0312514,0.0119248,0.0034332,0.3550576,0.0038671,65.72372208,0.004076,65.72372208,3.233992815
82,0.0314671,0.0142252,0.0029045,0.3665841,0.0347361,0.0121766,0.0032265,0.3658894,0.0035464,66.23403015,0.0044849,66.23403015,3.233992815
83,0.032349,0.0158281,0.0032006,0.3453635,0.0308032,0.0134619,0.0032498,0.3470897,0.0052366,66.02991104,0.0054298,66.02991104,3.233504295
84,0.0338431,0.0112974,0.0035631,0.3886252,0.0293564,0.0136492,0.0028999,0.3711535,0.0039794,65.58762894,0.0039232,65.58762894,3.233992815
85,0.0332512,0.013022,0.0043564,0.3580478,0.0290186,0.0153781,0.0036792,0.3582822,0.0043865,65.48555222,0.0038061,65.48555222,3.233797312
86,0.0327559,0.0177358,0.0034326,0.3619943,0.0330676,0.0150426,0.0043983,0.3510303,0.0042928,65.62163849,0.0054376,65.62163849,3.233601809
87,0.035284,0.0126124,0.0022025,0.3609483,0.0314938,0.0127242,0.0041965,0.3692957,0.0042675,65.92783432,0.0041806,65.92783432,3.233309031
88,0.0337461,0.01197,0.0040861,0.365469,0.0314975,0.0163101,0.0033468,0.3753218,0.0045305,65.8257576,0.0043626,65.8257576,3.232625008
89,0.0424904,0.014249,0.0023751,0.3767075,0.0310635,0.0110933,0.0041599,0.3681946,0.003587,65.89382477,0.0049613,65.89382477,3.233504295
90,0.0358213,0.0151907,0.0043388,0.3571521,0.0309961,0.0158513,0.0034539,0.346032,0.0049243,65.48555222,0.0046413,65.48555222,3.232429743
91,0.0347705,0.0139589,0.0020356,0.3648798,0.0304362,0.0140632,0.0054967,0.36286,0.0043765,65.75773163,0.0051271,65.75773163,3.232722759
92,0.0312979,0.0142791,0.0042933,0.368622,0.0370998,0.0145853,0.003365,0.373353,0.004548,65.85980835,0.0047944,65.85980835,3.232625008
93,0.0300579,0.0145783,0.0050135,0.3659138,0.0302083,0.0116398,0.0043472,0.3445973,0.0046758,65.62163849,0.0047073,65.62163849,3.23233223
94,0.030925,0.0139313,0.0042029,0.3626105,0.0299828,0.0163249,0.0027235,0.3675871,0.0048397,66.23403015,0.0045324,66.23403015,3.232136726
95,0.0314626,0.0150782,0.0048643,0.3573144,0.030881,0.0150003,0.0045592,0.3645524,0.0044222,65.92783432,0.0049272,65.92783432,3.231745958
96,0.0309482,0.0171269,0.0023741,0.3726767,0.0293515,0.0133707,0.0049321,0.3519279,0.0039273,65.79174461,0.0058162,65.79174461,3.232136726
97,0.0362234,0.0158356,0.0027891,0.3788656,0.0316281,0.0109908,0.0035929,0.3564461,0.0039312,65.85980835,0.0050521,65.85980835,3.23184371
98,0.0398569,0.0179261,0.0020463,0.3564156,0.0301439,0.011337,0.003712,0.3738846,0.0039194,65.92783432,0.0049524,65.92783432,3.230866909
99,0.0313052,0.0102013,0.0019943,0.3547715,0.0340844,0.0122799,0.0016924,0.3567607,0.0041655,65.62163849,0.0033875,65.62163849,3.231648207
100,0.0310096,0.0164061,0.0030833,0.3695868,0.0326016,0.0123404,0.0035811,0.3642595,0.0043023,66.02991104,0.0049287,66.02991104,3.232039213
101,0.0282648,0.0143343,0.0024851,0.3847809,0.0301329,0.0147228,0.0043829,0.3618837,0.0046062,65.89382477,0.0046996,65.89382477,3.23184371
102,0.0362053,0.0136896,0.0030003,0.38326,0.0305887,0.0120087,0.0022791,0.3801981,0.003965,65.8257576,0.0043727,65.8257576,3.230866909
103,0.0328527,0.0118837,0.0023731,0.3673776,0.0311896,0.0123183,0.0030143,0.3655613,0.0041692,65.85980835,0.0041729,65.85980835,3.231550694
104,0.0401007,0.0128435,0.0037866,0.3590667,0.0332868,0.0134642,0.0020746,0.3539402,0.0044703,65.99586029,0.0049541,65.99586029,3.230280876
105,0.0317541,0.014588,0.0048485,0.3749852,0.0294251,0.0140792,0.0051305,0.3626187,0.0045809,66.06392746,0.0044172,66.06392746,3.230769157
106,0.0413444,0.0179598,0.0046114,0.3729563,0.0297881,0.0162732,0.003608,0.3806076,0.004817,66.02991104,0.0048694,66.02991104,3.230573893
107,0.0330807,0.0119709,0.003987,0.3748108,0.0307627,0.0110031,0.0027126,0.3627435,0.0039987,65.96184731,0.0040593,65.96184731,3.230183125
108,0.0383814,0.0103723,0.0055742,0.3549458,0.0338108,0.0154467,0.0053128,0.3702125,0.0049362,65.65565491,0.0041988,65.65565491,3.230573893
109,0.0400718,0.0145909,0.003011,0.3619492,0.0279844,0.0109258,0.0038866,0.3678448,0.0040812,65.75773163,0.0050486,65.75773163,3.230280876
110,0.0296016,0.0130283,0.0032296,0.3752316,0.0290892,0.01179,0.0039035,0.3482884,0.0044124,66.09793701,0.0042364,66.09793701,3.230085611
111,0.0297174,0.0117238,0.0030963,0.3626225,0.0356193,0.0116506,0.0036597,0.3567255,0.0042234,65.55361595,0.0038972,65.55361595,3.230280876
112,0.0287131,0.0159898,0.0023438,0.3582341,0.031593,0.0117405,0.0026052,0.3778793,0.0036302,66.02991104,0.0043974,66.02991104,3.22998786
113,0.0387517,0.0148939,0.0028797,0.3631094,0.0304993,0.0114868,0.0028431,0.3730518,0.0041788,65.72372208,0.0045961,65.72372208,3.230378628
114,0.0316049,0.0141814,0.0026917,0.370711,0.0290546,0.0121245,0.0033114,0.3672997,0.0042642,65.62163849,0.0045711,65.62163849,3.229597092
115,0.0332972,0.0126105,0.0031278,0.3533438,0.0299601,0.0168758,0.0051061,0.3629957,0.0046075,66.16596298,0.0044684,66.16596298,3.229206324
116,0.0364532,0.0124242,0.0032289,0.365484,0.0322622,0.0121318,0.0043119,0.350759,0.003727,65.65565491,0.0040614,65.65565491,3.229401827
117,0.0368316,0.0123605,0.0022812,0.3569176,0.0369499,0.0126731,0.0042633,0.3561072,0.0046314,66.37011986,0.0039288,66.37011986,3.22949934
118,0.0359823,0.0134028,0.0044249,0.3667795,0.0364169,0.0142803,0.0026595,0.3671478,0.0046699,65.79174461,0.0045422,65.79174461,3.229304075
119,0.0351405,0.0126556,0.0026692,0.3709695,0.0339245,0.0114838,0.0050487,0.3672563,0.0040761,65.72372208,0.0048563,65.72372208,3.229206324
120,0.0325075,0.0165064,0.0037981,0.359223,0.0306883,0.015576,0.0049981,0.3778359,0.004785,65.89382477,0.0052869,65.89382477,3.229597092
121,0.0372058,0.0157428,0.003903,0.3598753,0.0299185,0.0132113,0.0032583,0.3756608,0.0039024,65.79174461,0.0047679,65.79174461,3.228815556
122,0.0360608,0.0117517,0.0025271,0.3655742,0.0343059,0.0161014,0.003037,0.3616343,0.0047506,66.09793701,0.0038228,66.09793701,3.228815556
123,0.033742,0.013137,0.0038159,0.3487149,0.0298548,0.0111902,0.0026705,0.3539375,0.0042486,65.68970566,0.0038412,65.68970566,3.228717804
124,0.0337334,0.0178946,0.0045841,0.3485256,0.0323033,0.0126688,0.003189,0.360384,0.0045008,65.75773163,0.0049671,65.75773163,3.228327274
125,0.0332721,0.015721,0.0031417,0.3614082,0.0316547,0.0131374,0.003329,0.3626946,0.0045343,65.89382477,0.0047717,65.89382477,3.228522539
126,0.0362987,0.0128381,0.0026356,0.3585046,0.0329299,0.012358,0.0053318,0.3683411,0.0042381,65.55361595,0.0048536,65.55361595,3.228620291
127,0.0360794,0.016177,0.002823,0.3689917,0.0300315,0.011597,0.0043298,0.3595487,0.0040256,65.75773163,0.0042336,65.75773163,3.228425026
128,0.0323668,0.0138937,0.0041788,0.3582792,0.0310687,0.0144258,0.0024031,0.3720105,0.0048192,66.20001717,0.0042665,66.20001717,3.228229523
129,0.0338221,0.0130027,0.0040431,0.3552945,0.030877,0.0132531,0.004393,0.3491128,0.0045415,65.85980835,0.0045663,65.85980835,3.227545738
130,0.0335913,0.0158618,0.0039073,0.3673325,0.0363056,0.0156276,0.005478,0.3477948,0.0047705,65.75773163,0.0054308,65.75773163,3.227838755
131,0.0352095,0.0159718,0.0057672,0.3628299,0.0349207,0.0172863,0.0041773,0.3664563,0.0045777,65.41752625,0.0053536,65.41752625,3.22764349
132,0.0321792,0.0149081,0.0031032,0.3805338,0.0320852,0.0127925,0.0040137,0.3522101,0.0042403,65.68970566,0.0048656,65.68970566,3.227741003
133,0.0299932,0.0142914,0.0018691,0.3552614,0.0278896,0.0142747,0.0024514,0.3660224,0.0044266,65.99586029,0.0042958,65.99586029,3.227545738
134,0.0307325,0.0138588,0.0033182,0.3599053,0.0305451,0.0170539,0.0027642,0.3492865,0.004933,65.79174461,0.0045131,65.79174461,3.227448225
135,0.0296743,0.0112726,0.0020092,0.3599414,0.0326733,0.0118475,0.0041403,0.3563133,0.0039745,65.89382477,0.0041203,65.89382477,3.226959705
136,0.0335582,0.0125745,0.00263,0.3606748,0.0307413,0.0121327,0.0013017,0.3582252,0.0036141,65.79174461,0.0039404,65.79174461,3.227155209
137,0.0301987,0.0140481,0.0057076,0.3676541,0.0361241,0.0140265,0.0025562,0.3629469,0.0047235,65.62163849,0.0044917,65.62163849,3.226764202
138,0.032477,0.0137269,0.00324,0.370191,0.0294561,0.0125995,0.0029395,0.3590605,0.0046297,65.72372208,0.0036405,65.72372208,3.226568937
139,0.0310569,0.012636,0.0024735,0.3624091,0.0359859,0.0145344,0.0032966,0.3494899,0.0044916,65.65565491,0.0043629,65.65565491,3.226666689
140,0.0354239,0.0125343,0.0032134,0.3711528,0.0294762,0.0136415,0.0037081,0.3656046,0.0043649,65.65565491,0.004655,65.65565491,3.226764202
141,0.0309675,0.014219,0.0024091,0.3639,0.0340571,0.0116262,0.0031741,0.3658677,0.0041192,65.8257576,0.0045432,65.8257576,3.226373672
142,0.0326511,0.0125583,0.0021442,0.3527005,0.028088,0.0145014,0.0020964,0.3705324,0.0045681,65.8257576,0.0036678,65.8257576,3.226080656
143,0.0356526,0.0155103,0.0022225,0.37228,0.0282172,0.0134563,0.0036173,0.3659003,0.0045701,65.79174461,0.0052192,65.79174461,3.226275921
144,0.0334978,0.0150424,0.0031188,0.346653,0.0334251,0.0103888,0.0059132,0.3752893,0.0042734,65.51960297,0.0051666,65.51960297,3.225592136
145,0.0317331,0.0131028,0.0028678,0.3680359,0.0386108,0.0143792,0.0026141,0.3681242,0.0039979,65.92783432,0.0048058,65.92783432,3.225689888
146,0.0366431,0.0163409,0.0033937,0.3705096,0.0294739,0.014525,0.0024872,0.3632967,0.00498,65.96184731,0.0049237,65.96184731,3.225982904
147,0.0347334,0.0153157,0.0031035,0.3796801,0.0344411,0.0096475,0.0049864,0.356495,0.0036789,65.55361595,0.0053596,65.55361595,3.22529912
148,0.0348954,0.0135637,0.0030698,0.367062,0.0311941,0.0129131,0.0056687,0.3729949,0.004648,66.2680397,0.004254,66.2680397,3.2248106
149,0.0345948,0.0184358,0.0026049,0.3688865,0.0307419,0.0127495,0.0029947,0.3562346,0.0044999,65.96184731,0.004764,65.96184731,3.224908352
150,0.0334994,0.0125824,0.0025312,0.3506566,0.0316699,0.0118108,0.0026552,0.3847787,0.0043712,65.62163849,0.004427,65.62163849,3.225006104
151,0.031633,0.0126725,0.0036289,0.3489073,0.0281225,0.0133944,0.0044197,0.3578212,0.0047522,66.02991104,0.0044552,66.02991104,3.22529912
152,0.0330576,0.0134601,0.0048639,0.3723822,0.0313656,0.0161121,0.0049722,0.3669633,0.0052193,65.62163849,0.0048326,65.62163849,3.22529912
153,0.0352168,0.0145668,0.0023341,0.3530883,0.0338472,0.0149433,0.0038325,0.3723712,0.0048442,65.92783432,0.0051503,65.92783432,3.224713087
154,0.0313761,0.0138013,0.0047261,0.3563676,0.0311325,0.0155115,0.0022667,0.3559228,0.0057286,65.96184731,0.0046705,65.96184731,3.224615335
155,0.0397303,0.0109529,0.0030643,0.3640743,0.0332133,0.0158699,0.0014051,0.3499184,0.0044725,65.55361595,0.0035601,65.55361595,3.225006104
156,0.0309386,0.0148037,0.0033166,0.3585287,0.0295608,0.0125134,0.0040885,0.3538101,0.0041389,65.79174461,0.0046599,65.79174461,3.224517822
157,0.0308733,0.013501,0.0023263,0.3624602,0.029095,0.0116371,0.0045728,0.3683276,0.0045614,65.99586029,0.0040634,65.99586029,3.224322319
158,0.0349639,0.0116011,0.0028071,0.3537976,0.0323096,0.0131803,0.0032541,0.362597,0.0043615,65.92783432,0.0042748,65.92783432,3.224420071
159,0.0312623,0.0135309,0.002496,0.3452583,0.0345177,0.0149596,0.0026354,0.367221,0.0045935,65.68970566,0.0039997,65.68970566,3.224322319
160,0.0348016,0.0140848,0.0017204,0.3630824,0.0355273,0.0164873,0.0048543,0.3684251,0.0043715,65.85980835,0.0049168,65.85980835,3.224224806
161,0.0322503,0.0141397,0.0034261,0.3546302,0.0305351,0.0174492,0.0043951,0.3506343,0.0050392,65.96184731,0.0045896,65.96184731,3.223541021
162,0.0292569,0.0168965,0.0029351,0.359229,0.0334952,0.015747,0.0031007,0.3631014,0.0046685,65.8257576,0.0044024,65.8257576,3.223638535
163,0.0290535,0.0171199,0.0025306,0.3755983,0.0311652,0.014057,0.0042198,0.3657349,0.0045815,65.65565491,0.0046251,65.65565491,3.223736286
164,0.0356818,0.0150549,0.0037413,0.3721057,0.0281,0.0145994,0.0052438,0.3490532,0.0044997,65.75773163,0.0053586,65.75773163,3.223638535
165,0.0344541,0.018222,0.0028427,0.3737588,0.0311837,0.0129077,0.0031296,0.3725338,0.0039044,65.48555222,0.004889,65.48555222,3.223345518
166,0.0357771,0.0132361,0.0040046,0.3583513,0.0299291,0.0108027,0.0027237,0.341389,0.0042529,65.62163849,0.0043155,65.62163849,3.222856998
